date,jdate,high,low,open,close,volume
11/14/2021,1400-08-23,1446550,1440720,1440720,1442588,5007389134
11/15/2021,1400-08-24,1442230,1416330,1442230,1416340,4470305876
11/16/2021,1400-08-25,1414610,1408580,1414610,1408582,3417682862
11/17/2021,1400-08-26,1413640,1409600,1409600,1410778,3965728673
11/20/2021,1400-08-29,1411560,1383480,1411560,1383485,4180063900
11/21/2021,1400-08-30,1386970,1381660,1383020,1386973,4557787721
11/22/2021,1400-09-01,1407760,1390290,1390290,1407127,4692745831
11/23/2021,1400-09-02,1408720,1403670,1408720,1404612,3461638431
11/24/2021,1400-09-03,1404530,1394090,1404530,1394096,3957085453
11/27/2021,1400-09-06,1390440,1366660,1390440,1366664,3697869525
11/28/2021,1400-09-07,1369900,1367090,1367100,1368014,3179889290
11/29/2021,1400-09-08,1369970,1363820,1368020,1363840,2695389389
11/30/2021,1400-09-09,1363840,1357090,1363840,1357093,3258521386
12/1/2021,1400-09-10,1356780,1340110,1356780,1340121,3366264597
12/4/2021,1400-09-13,1342690,1333860,1341350,1334735,3223998062
12/5/2021,1400-09-14,1343250,1335870,1335870,1343253,2778352452
12/6/2021,1400-09-15,1345570,1342290,1343510,1342343,2755443049
12/7/2021,1400-09-16,1341580,1337510,1341580,1337988,2343601361
12/8/2021,1400-09-17,1349360,1338260,1338260,1349365,4037895607
12/11/2021,1400-09-20,1350440,1344440,1350120,1344448,4801350997
12/12/2021,1400-09-21,1342540,1320710,1342540,1320762,3811331709
12/13/2021,1400-09-22,1319960,1295520,1319960,1295527,4333878064
12/14/2021,1400-09-23,1293200,1288810,1293200,1291798,3951692553
12/15/2021,1400-09-24,1296370,1292090,1292090,1293213,3668912718
12/18/2021,1400-09-27,1305570,1295400,1295400,1305577,3997654564
12/19/2021,1400-09-28,1306180,1291660,1306180,1291666,3514779588
12/20/2021,1400-09-29,1301510,1292940,1292940,1301517,3795874634
12/21/2021,1400-09-30,1318460,1302570,1302570,1318467,3377664553
12/22/2021,1400-10-01,1359010,1321750,1321750,1359011,4385161936
12/25/2021,1400-10-04,1387120,1367290,1367290,1385528,5998858611
12/26/2021,1400-10-05,1384990,1379160,1384990,1384015,4587444486
12/27/2021,1400-10-06,1401250,1386050,1386050,1400290,5415616618
12/28/2021,1400-10-07,1399970,1397100,1399970,1399889,4498907423
12/29/2021,1400-10-08,1400980,1397350,1400140,1397358,5429556601
1/1/2022,1400-10-11,1396330,1378890,1396330,1378895,3940751710
1/2/2022,1400-10-12,1380640,1378600,1378600,1378984,2964382580
1/3/2022,1400-10-13,1380040,1376060,1379100,1376070,2981327219
1/4/2022,1400-10-14,1375900,1362790,1375900,1362795,3298636722
1/5/2022,1400-10-15,1363180,1362340,1362820,1363123,2724471905
1/8/2022,1400-10-18,1367520,1362340,1363230,1362439,5180052768
1/9/2022,1400-10-19,1362250,1336770,1362250,1336779,4201865742
1/10/2022,1400-10-20,1335890,1330160,1335890,1332642,4465580312
1/11/2022,1400-10-21,1338330,1333640,1333640,1334702,3973443239
1/12/2022,1400-10-22,1335410,1334280,1334730,1334284,3356052965
1/15/2022,1400-10-25,1334340,1322620,1334340,1322632,3774945135
1/16/2022,1400-10-26,1322280,1310820,1322280,1310877,3208295790
1/17/2022,1400-10-27,1314220,1306530,1311180,1306531,3746843575
1/18/2022,1400-10-28,1305650,1275930,1305650,1275936,4504674260
1/19/2022,1400-10-29,1279500,1274600,1275020,1279450,3436299699
1/22/2022,1400-11-02,1286700,1281800,1285390,1281803,3521012062
1/23/2022,1400-11-03,1280920,1256540,1280920,1256547,4622360998
1/24/2022,1400-11-04,1255450,1234680,1255450,1234689,3361522069
1/25/2022,1400-11-05,1233940,1207990,1233940,1207991,5442842578
1/26/2022,1400-11-06,1229420,1213820,1213820,1229423,4489233096
1/29/2022,1400-11-09,1258970,1233380,1233380,1258963,3360744518
1/30/2022,1400-11-10,1284570,1267830,1267830,1284578,4845764628
1/31/2022,1400-11-11,1294670,1285250,1285260,1294670,5534972786
2/1/2022,1400-11-12,1301430,1297220,1297220,1301298,6739483619
2/2/2022,1400-11-13,1301360,1299120,1301360,1301197,5564176410
2/5/2022,1400-11-16,1306380,1304100,1304100,1304437,4554466859
2/6/2022,1400-11-17,1303820,1281960,1303820,1282050,5468330997
2/7/2022,1400-11-18,1278700,1274390,1278700,1274488,4522006028
2/8/2022,1400-11-19,1281460,1275710,1275710,1281169,4433649689
2/9/2022,1400-11-20,1284120,1279280,1281340,1284120,4587036413
2/12/2022,1400-11-23,1285800,1284100,1285030,1284108,4879553227
2/13/2022,1400-11-24,1284190,1276020,1284190,1276044,3676757619
2/14/2022,1400-11-25,1283350,1277410,1277410,1283344,3240409303
2/16/2022,1400-11-27,1283720,1282470,1283540,1282475,2952216315
2/19/2022,1400-11-30,1283210,1281990,1282940,1282130,4405539846
2/20/2022,1400-12-01,1282600,1274290,1282460,1274401,3727731326
2/21/2022,1400-12-02,1282970,1275260,1275260,1281568,6044409551
2/22/2022,1400-12-03,1285140,1282760,1282760,1284826,4422020825
2/23/2022,1400-12-04,1288340,1285420,1285420,1288337,4058576221
2/26/2022,1400-12-07,1287720,1282790,1287720,1282797,4386324762
2/27/2022,1400-12-08,1282440,1278880,1282440,1279302,2870301032
2/28/2022,1400-12-09,1281870,1279670,1279670,1281847,3114364383
